starting
Enc:FUEL
-0.22,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
STOPPED. PRESS BOTH BUTTONS TO CONFIRM HOME POSITION
Switch
0.00,111111111111111111111111
0.00,111111111111111111111111
STOPPED. PRESS BOTH BUTTONS TO CONFIRM HOME POSITION
Set SEL_SWITCH to ON and press both buttons to arm valves
idle
idle
10101010
111100010100001
activated
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.90;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.95;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.98;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.03;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.07;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.10;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.14;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.17;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.20;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.25;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.27;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.29;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.31;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.33;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.34;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.35;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:13.36;  Target: 3.50
