i, f, dt, pos
39577,30326,-9251.00,100111011001110110000001
30326,30325,-1.00,100111011001110101000001
30325,28268,-2057.00,100110111001101100000001
28268,27243,-1025.00,100110101001101011000001
27243,115649,42665.00,111011111110111100000001
115649,83781,-31868.00,110100011101000111000001
83781,83783,2.00,110100011101000111000001
83783,83780,-3.00,110100011101000110000001
83780,66307,-17473.00,101111111011111110000001
66307,26214,-40093.00,100110011001100101000001
26214,17988,-8226.00,100100011001000111000001
17988,17991,3.00,100100011001000111000001
17991,16963,-1028.00,100100001001000011000001
16963,119760,28274.00,111100111111001110000001
119760,78640,-41120.00,110011001100110011000001
78640,73503,-5137.00,110001111100011111000001
73503,73500,-3.00,110001111100011100000001
73500,69388,-4112.00,110000101100001011000001
69388,13879,-55509.00,100011001000110001000001
13879,115648,29302.00,111100001111000011000001
115648,117707,2059.00,111100101111001011000001
117707,117705,-2.00,111100101111001000000001
117705,78640,-39065.00,110010111100101110000001
78640,30326,-48314.00,100111011001110110000001
30326,32382,2056.00,100111111001111110000001
32382,32382,0.00,100111111001111110000001
32382,30324,-2058.00,100111011001110101000001
30324,14907,-15417.00,100011101000111000000001
14907,101258,44720.00,111000011110000110000001
101258,89951,-11307.00,110101111101011100000001
89951,89951,0.00,110101111101011111000001
89951,89951,0.00,110101111101011111000001
89951,89950,-1.00,110101111101011110000001
89950,89950,0.00,110101111101011110000001
89950,92006,2056.00,110110101101101011000001
92006,101259,9253.00,111000101110001001000001
101259,121817,20558.00,111101101111011000000001
121817,19017,28271.00,100100111001001110000001
19017,48829,29812.00,101011111010111111000001
48829,50887,2058.00,101100011011000111000001
50887,50885,-2.00,101100011011000110000001
50885,66307,15422.00,110000001100000011000001
66307,97144,30837.00,110111111101111101000001
97144,109480,12336.00,111010101110101000000001
109480,108452,-1028.00,111010011110100100000001
108452,108455,3.00,111010011110100100000001
108455,110508,2053.00,111010111110101110000001
110508,12849,33412.00,100011011000110110000001
12849,47803,34954.00,101011101010111000000001
47803,47801,-2.00,101011101010111001000001
47801,47802,1.00,101011101010111010000001
47802,48830,1028.00,101011111010111111000001
48830,72474,23644.00,110001111100011111000001
72474,126958,54484.00,111110111111101110000001
126958,127987,1029.00,111111001111110011000001
127987,127987,0.00,111111001111110011000001
127987,127986,-1.00,111111001111110010000001
127986,127984,-2.00,111111001111110000000001
127984,1543,4630.00,100000011000000101000001
1543,31354,29811.00,100111111001111110000001
31354,60136,28782.00,101110101011101011000001
60136,69389,9253.00,110000111100001101000001
69389,69388,-1.00,110000111100001110000001
69388,69390,2.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,69390,0.00,110000111100001110000001
69390,66305,-3085.00,101111111011111100000001
66305,26215,-40090.00,100110001001100001000001
26215,1542,-24673.00,100000011000000111000001
1542,99200,33413.00,111000001110000001000001
99200,98173,-1027.00,110111111101111101000001
98173,98172,-1.00,110111111101111111000001
98172,97144,-1028.00,110111101101111011000001
97144,97144,0.00,110111101101111011000001
97144,79670,-17474.00,110011001100110001000001
79670,45747,-33923.00,101011001010110011000001
45747,32382,-13365.00,100111111001111110000001
32382,32383,1.00,100111111001111111000001
32383,32381,-2.00,100111111001111110000001
32381,15932,-16449.00,100011101000111000000001
15932,114620,32383.00,111011111110111100000001
114620,99203,-15417.00,111000001110000000000001
99203,98175,-1028.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
98175,98175,0.00,110111111101111111000001
